label,venue,pair,direction,session,pnl,j15m_entry,j15m_entry_zone,j1h_entry,j1h_entry_zone,j15m_exit,j15m_exit_zone,j1h_exit,j1h_exit_zone,j1h_direction,j1h_min,j1h_max,zone_crossings,error
HYPE SHORT US,mexc,HYPE_USDT,SHORT,US,-545.18,72.66,BULLISH,86.44,BULLISH,80.77,BULLISH,84.92,BULLISH,FLAT,84.92,94.53,16:30 Uâ†’B | 16:45 Bâ†’U | 17:00 Uâ†’B | 18:15 Bâ†’U,
AVAX SHORT US,hl,AVAX,SHORT,US,-452.44,96.16,BULLISH,103.07,BULLISH,58.93,UNDECIDED,89.06,BULLISH,FALLING,89.06,103.07,17:45 Bâ†’U,
@107 SHORT US,hl,@107,SHORT,US,-572.25,72.66,BULLISH,86.44,BULLISH,80.77,BULLISH,84.92,BULLISH,FLAT,84.92,94.53,16:30 Uâ†’B | 16:45 Bâ†’U | 17:00 Uâ†’B | 18:15 Bâ†’U,
WIF LONG US,hl,WIF,LONG,US,386.78,17.24,BEARISH,23.61,BEARISH,76.88,BULLISH,57.92,UNDECIDED,RISING,8.94,57.96,14:45 Bâ†’U | 15:00 Uâ†’B | 15:15 Bâ†’U | 16:15 Uâ†’B | 16:30 Bâ†’U | 16:45 Uâ†’B | 18:15 Bâ†’U,
BTC LONG US,mexc,BTC_USDT,LONG,US,211.02,16.73,BEARISH,15.71,BEARISH,101.25,BULLISH,44.6,UNDECIDED,RISING,15.71,73.34,15:15 Bâ†’U | 15:45 Uâ†’B,
XRP LONG US,mexc,XRP_USDT,LONG,US,230.39,25.32,BEARISH,30.47,UNDECIDED,86.28,BULLISH,36.26,UNDECIDED,RISING,30.47,75.63,15:30 Bâ†’U | 15:45 Uâ†’B | 16:15 Bâ†’U | 16:30 Uâ†’B,
DOGE LONG US,mexc,DOGE_USDT,LONG,US,186.75,18.49,BEARISH,25.78,BEARISH,81.28,BULLISH,38.83,UNDECIDED,RISING,25.78,73.08,14:45 Bâ†’U | 15:00 Uâ†’B | 15:15 Bâ†’U | 15:45 Uâ†’B | 16:15 Bâ†’U | 16:45 Uâ†’B,
DOGE LONG US,hl,DOGE,LONG,US,125.23,18.49,BEARISH,25.78,BEARISH,81.28,BULLISH,38.83,UNDECIDED,RISING,25.78,73.08,14:45 Bâ†’U | 15:00 Uâ†’B | 15:15 Bâ†’U | 15:45 Uâ†’B | 16:15 Bâ†’U | 16:45 Uâ†’B,
BTC LONG US,hl,BTC,LONG,US,219.13,16.73,BEARISH,15.71,BEARISH,101.25,BULLISH,44.6,UNDECIDED,RISING,15.71,73.34,15:15 Bâ†’U | 15:45 Uâ†’B,
HYPE SHORT EU,mexc,HYPE_USDT,SHORT,EU,-189.86,61.79,UNDECIDED,78.85,BULLISH,40.43,UNDECIDED,97.97,BULLISH,RISING,68.32,97.97,11:15 Bâ†’U | 12:00 Uâ†’B | 12:30 Bâ†’U | 13:00 Uâ†’B | 13:15 Bâ†’U | 14:00 Uâ†’B | 14:45 Bâ†’U,
WIF LONG US,mexc,WIF_USDT,LONG,US,-554.32,17.24,BEARISH,23.61,BEARISH,28.78,BEARISH,8.94,BEARISH,FALLING,8.94,23.61,14:45 Bâ†’U | 15:00 Uâ†’B | 15:15 Bâ†’U,
ETH LONG US,mexc,ETH_USDT,LONG,US,93.93,27.11,BEARISH,28.87,BEARISH,34.43,UNDECIDED,47.59,UNDECIDED,RISING,28.87,47.59,14:45 Bâ†’U,
ADA LONG US,hl,ADA,LONG,US,78.24,22.48,BEARISH,37.56,UNDECIDED,42.98,UNDECIDED,56.15,UNDECIDED,RISING,37.56,56.15,14:45 Bâ†’U,
AVAX LONG US,hl,AVAX,LONG,US,125.84,19.73,BEARISH,30.94,UNDECIDED,59.38,UNDECIDED,65.65,UNDECIDED,RISING,30.94,65.65,14:45 Bâ†’U | 15:15 Uâ†’B,
SOL SHORT EU,hl,SOL,SHORT,EU,-384.88,66.51,UNDECIDED,79.85,BULLISH,74.35,BULLISH,61.34,UNDECIDED,FALLING,45.27,79.85,10:45 Bâ†’U | 11:00 Uâ†’B | 12:00 Bâ†’U | 12:15 Uâ†’B | 12:45 Bâ†’U | 13:00 Uâ†’B | 13:30 Bâ†’U,
AVAX SHORT EU,hl,AVAX,SHORT,EU,-157.57,72.32,BULLISH,87.88,BULLISH,14.77,BEARISH,27.94,BEARISH,FALLING,27.94,87.88,11:00 Bâ†’U | 11:15 Uâ†’B | 11:30 Bâ†’U | 11:45 Uâ†’B | 12:00 Bâ†’U | 12:15 Uâ†’B | 12:30 Bâ†’U | 12:45 Uâ†’B | 13:00 Bâ†’U | 13:15 Uâ†’B,
@107 SHORT EU,hl,@107,SHORT,EU,-442.32,61.79,UNDECIDED,78.85,BULLISH,64.93,UNDECIDED,68.32,UNDECIDED,FALLING,68.32,78.85,11:15 Bâ†’U | 12:00 Uâ†’B | 12:30 Bâ†’U | 13:00 Uâ†’B | 13:15 Bâ†’U,
BTC SHORT EU,hl,BTC,SHORT,EU,84.47,67.04,UNDECIDED,61.22,UNDECIDED,32.33,UNDECIDED,33.43,UNDECIDED,FALLING,17.41,61.22,10:45 Bâ†’U | 11:30 Uâ†’B | 12:00 Bâ†’U | 12:15 Uâ†’B | 12:30 Bâ†’U,
ZEC LONG EU,mexc,ZEC_USDT,LONG,EU,50.31,75.97,BULLISH,33.94,UNDECIDED,40.74,UNDECIDED,33.94,UNDECIDED,FLAT,33.94,39.35,12:00 Bâ†’B | 12:30 Bâ†’U,
ADA SHORT EU,mexc,ADA_USDT,SHORT,EU,68.97,42.55,UNDECIDED,69.94,UNDECIDED,36.36,UNDECIDED,47.41,UNDECIDED,FALLING,35.92,69.94,11:00 Bâ†’U | 11:15 Uâ†’B | 12:00 Bâ†’B | 12:30 Bâ†’U,
AVAX SHORT EU,mexc,AVAX_USDT,SHORT,EU,106.21,72.32,BULLISH,87.88,BULLISH,22.93,BEARISH,42.56,UNDECIDED,FALLING,27.94,87.88,11:00 Bâ†’U | 11:15 Uâ†’B | 11:30 Bâ†’U | 11:45 Uâ†’B | 12:00 Bâ†’U | 12:15 Uâ†’B | 12:30 Bâ†’U | 12:45 Uâ†’B | 13:00 Bâ†’U,
BTC SHORT EU,mexc,BTC_USDT,SHORT,EU,107.73,67.04,UNDECIDED,61.22,UNDECIDED,32.33,UNDECIDED,33.43,UNDECIDED,FALLING,17.41,61.22,10:45 Bâ†’U | 11:30 Uâ†’B | 12:00 Bâ†’U | 12:15 Uâ†’B | 12:30 Bâ†’U,
SUI LONG EU,hl,SUI,LONG,EU,296.71,75.53,BULLISH,36.53,UNDECIDED,94.26,BULLISH,36.53,UNDECIDED,FLAT,36.53,36.53,12:00 Bâ†’B,
ADA LONG ASIA,mexc,ADA_USDT,LONG,ASIA,313.81,42.91,UNDECIDED,73.4,BULLISH,108.74,BULLISH,73.23,BULLISH,FLAT,52.43,75.5,05:30 Bâ†’U | 05:45 Uâ†’B | 07:15 Bâ†’U | 08:00 Uâ†’B | 09:15 Bâ†’U | 09:45 Uâ†’B,
XRP LONG ASIA,mexc,XRP_USDT,LONG,ASIA,274.17,43.83,UNDECIDED,68.8,UNDECIDED,102.47,BULLISH,81.28,BULLISH,RISING,59.82,81.28,05:30 Bâ†’U | 05:45 Uâ†’B | 07:30 Bâ†’U | 08:00 Uâ†’B | 09:15 Bâ†’U | 09:30 Uâ†’B,
ZEC LONG ASIA,mexc,ZEC_USDT,LONG,ASIA,505.33,38.55,UNDECIDED,62.99,UNDECIDED,72.47,BULLISH,81.73,BULLISH,RISING,62.99,81.73,05:30 Bâ†’U | 05:45 Uâ†’B | 07:45 Bâ†’U | 08:15 Uâ†’B | 09:15 Bâ†’U | 10:00 Uâ†’B,
WIF LONG ASIA,mexc,WIF_USDT,LONG,ASIA,1200,10.86,BEARISH,48.53,UNDECIDED,86.34,BULLISH,92.74,BULLISH,RISING,48.53,96.79,05:45 Bâ†’U | 06:00 Uâ†’B | 08:00 Bâ†’U | 09:45 Uâ†’B,
DOGE LONG ASIA,mexc,DOGE_USDT,LONG,ASIA,200.39,39.08,UNDECIDED,65.45,UNDECIDED,95.24,BULLISH,51.05,UNDECIDED,FALLING,40.2,73.16,05:30 Bâ†’U | 05:45 Uâ†’B | 07:30 Bâ†’U | 07:45 Uâ†’B | 09:00 Bâ†’U | 09:45 Uâ†’B,
SUI LONG ASIA,hl,SUI,LONG,ASIA,439.8,59.01,UNDECIDED,76.56,BULLISH,60.35,UNDECIDED,76.39,BULLISH,FLAT,76.06,98.37,06:00 Uâ†’B | 08:00 Bâ†’U | 08:15 Uâ†’B | 10:00 Bâ†’U | 10:15 Uâ†’B,
@107 LONG ASIA,hl,@107,LONG,ASIA,307.5,48.08,UNDECIDED,92.25,BULLISH,86.67,BULLISH,83.95,BULLISH,FLAT,60.15,92.25,05:30 Bâ†’U | 05:45 Uâ†’B | 07:30 Bâ†’U | 08:00 Uâ†’B | 09:45 Bâ†’U | 10:00 Uâ†’B,
XRP LONG ASIA,hl,XRP,LONG,ASIA,283.67,43.83,UNDECIDED,68.8,UNDECIDED,102.47,BULLISH,81.28,BULLISH,RISING,59.82,81.28,05:30 Bâ†’U | 05:45 Uâ†’B | 07:30 Bâ†’U | 08:00 Uâ†’B | 09:15 Bâ†’U | 09:30 Uâ†’B,
DOGE LONG ASIA,hl,DOGE,LONG,ASIA,193.74,39.08,UNDECIDED,65.45,UNDECIDED,95.24,BULLISH,51.05,UNDECIDED,FALLING,40.2,73.16,05:30 Bâ†’U | 05:45 Uâ†’B | 07:30 Bâ†’U | 07:45 Uâ†’B | 09:00 Bâ†’U | 09:45 Uâ†’B,
ZEC LONG ASIA,hl,ZEC,LONG,ASIA,538.48,38.55,UNDECIDED,62.99,UNDECIDED,72.47,BULLISH,81.73,BULLISH,RISING,62.99,81.73,05:30 Bâ†’U | 05:45 Uâ†’B | 07:45 Bâ†’U | 08:15 Uâ†’B | 09:15 Bâ†’U | 10:00 Uâ†’B,
ETH SHORT ASIA,hl,ETH,SHORT,ASIA,36.37,80.49,BULLISH,81.97,BULLISH,80.49,BULLISH,81.97,BULLISH,FLAT,81.97,81.97,04:30 Bâ†’U,
AVAX SHORT ASIA,mexc,AVAX_USDT,SHORT,ASIA,37.91,70.03,BULLISH,84.51,BULLISH,70.03,BULLISH,84.51,BULLISH,FLAT,84.51,84.51,04:30 Bâ†’U,
BTC SHORT ASIA,mexc,BTC_USDT,SHORT,ASIA,54.93,83.77,BULLISH,84.89,BULLISH,80.07,BULLISH,84.89,BULLISH,FLAT,84.89,84.89,04:30 Bâ†’U,
ETH SHORT ASIA,mexc,ETH_USDT,SHORT,ASIA,62.86,84.57,BULLISH,81.4,BULLISH,82.54,BULLISH,81.4,BULLISH,FLAT,81.4,81.4,04:30 Bâ†’U,
SOL SHORT ASIA,hl,SOL,SHORT,ASIA,141.94,63.31,UNDECIDED,61.31,UNDECIDED,63.31,UNDECIDED,61.31,UNDECIDED,FLAT,61.31,61.31,04:15 Bâ†’U | 04:30 Uâ†’B,
DOGE SHORT ASIA,hl,DOGE,SHORT,ASIA,127.49,68.22,UNDECIDED,53.73,UNDECIDED,50.4,UNDECIDED,53.73,UNDECIDED,FLAT,53.73,53.73,04:00 Bâ†’U | 04:30 Uâ†’B,
